Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
1,0,Abandoned Outpost,Odyssey,312,Near Mint,English,,,,,,,,$0.00 
1,0,Abandoned Sarcophagus,Commander 2020,236,Near Mint,English,,,,,,,,$0.00 
1,0,Abomination of Llanowar,Commander Legends,265,Near Mint,English,,,,,,,,$0.00 
4,0,Abrade,Double Masters,114,Near Mint,English,,,,,,,,$0.00 
1,0,Abrade,Commander Legends,410,Near Mint,English,,,,,,,,$0.00 
1,0,Abundance,Zendikar Rising Commander,58,Near Mint,English,,,,,,,,$0.00 
1,0,Abundant Growth,Eternal Masters,156,Near Mint,English,,,,,,,,$0.00 
1,0,Abzan Ascendancy,Commander 2020,198,Near Mint,English,,,,,,,,$0.00 
1,0,Abzan Charm,Commander 2020,199,Near Mint,English,,,,,,,,$0.00 
1,0,Acclaimed Contender,Throne of Eldraine,1,Near Mint,English,,,,,,,,$0.00 
1,0,Accomplished Automaton,Double Masters,230,Near Mint,English,,,,,,,,$0.00 
1,0,Acidic Slime,Commander 2020,165,Near Mint,English,,,,,,,,$0.00 
1,0,Acidic Slime,Zendikar Rising Commander,59,Near Mint,English,,,,,,,,$0.00 
1,0,Acidic Slime,Commander Legends,421,Near Mint,English,,,,,,,,$0.00 
1,0,Acolyte of Affliction,Theros Beyond Death,206,Near Mint,English,,,,,,,,$0.00 
1,0,Act of Heroism,Hour of Devastation,1,Near Mint,English,,,,,,,,$0.00 
4,0,Act of Treason,Gatecrash,85,Near Mint,English,,,,,,,,$0.00 
2,0,Adaptive Shimmerer,Ikoria: Lair of Behemoths,1,Near Mint,English,,,,,,,,$0.00 
1,0,Adaptive Snapjaw,Gatecrash,113,Near Mint,English,,,,,,,,$0.00 
1,0,Admonition Angel,Zendikar Rising Commander,10,Near Mint,English,,,,,,,,$0.00 
1,0,"Adriana, Captain of the Guard",Commander 2020,200,Near Mint,English,,,,,,,,$0.00 
1,0,Adventure Awaits,Zendikar Rising,177,Near Mint,English,,,,,,,,$0.00 
